Characteristics,City of Ottawa,Orléans East-Cumberland - Ward 1,Orléans West-Innes - Ward 2,Barrhaven West - Ward 3,Kanata North - Ward 4,West Carleton-March - Ward 5,Stittsville - Ward 6,Bay - Ward 7,College - Ward 8,Knoxdale-Merivale -Ward 9,Gloucester-Southgate - Ward 10,Beacon Hill-Cyrville - Ward 11,Rideau-Vanier - Ward 12,Rideau-Rockcliffe - Ward 13,Somerset - Ward 14,Kitchissippi - Ward 15,River -Ward 16,Capital - Ward 17,Alta Vista - Ward 18,Orléans South-Navan - Ward 19,Osgoode - Ward 20,Rideau-Jock - Ward 21,Riverside South-Findlay Creek - Ward 22,Kanata South - Ward 23,Barrhaven East - Ward 24
Global Non-Response,0.031,0.017,0.017,0.021,0.019,0.031,0.013,0.036,0.03,0.028,0.029,0.025,0.076,0.042,0.059,0.033,0.032,0.043,0.044,0.018,0.018,0.016,0.012,0.016,0.017
Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,834140,40600,38040,38620,33700,20690,35610,41425,43355,33370,39990,28285,39895,31930,37085,31735,38740,32685,36855,38605,24850,22255,25330,39665,40825
Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,799175,39155,36680,36735,31825,19995,34160,39730,41760,31995,37870,27000,38290,30635,36170,30590,37050,31465,35195,36865,23980,21495,23955,38090,38470
Median total income in 2020  among recipients ($),50000,56400,54400,54800,54400,56400,59200,43200,45600,45200,39200,45200,39200,44800,49600,64000,42800,52800,44000,57600,56000,58400,58000,53600,48000
Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,799595,39185,36685,36750,31845,19995,34180,39750,41780,31995,37935,27000,38315,30670,36185,30595,37060,31520,35210,36865,24005,21510,23960,38110,38485
Median after-tax income in 2020 among recipients ($),44000,49200,47200,48000,47600,48800,51200,38800,40400,40400,36000,40800,36000,40000,44000,54800,38800,46000,39200,50000,48000,50000,50400,47200,42800
Average after-tax income in 2020 among recipients ($),52450,52850,53000,53650,56500,59450,57650,47560,48160,47720,42920,47640,44400,51700,55150,67400,47840,60550,48480,54150,56950,59250,57450,52700,49640
Average total income in 2020 among recipients ($),64500,64000,64300,65800,70900,75800,71800,57700,57900,57100,50600,56650,52750,64300,69000,87900,57300,78900,59650,65900,71800,75100,70800,64100,59900
Median market income in 2020  among recipients ($),46800,52000,48400,52400,51600,52400,56800,39600,40400,40400,36000,40800,36000,42000,50800,63600,38800,50000,40800,54800,52400,52800,56800,49600,45600
Average market income in 2020 among recipients ($),61750,60100,59100,62900,68400,72500,68900,54500,53700,52550,47280,52750,50000,63000,68800,87100,54050,76500,57200,62650,68500,71000,68600,60700,57550
Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,592960,29245,26040,29080,23410,15115,27030,26605,30370,22040,27005,18900,27425,20390,28280,23455,26205,23695,24555,30025,18515,15920,19580,29425,30660
Median employment income in 2020 among recipients ($),47600,52800,47200,53600,57200,52800,60400,39200,40400,39600,35600,40000,33200,40000,52000,64500,36800,45600,40000,56000,53200,52800,59200,52800,48400
Average employment income in 2020 among recipients ($),60650,58600,57000,63150,70700,72100,70100,53600,52900,51200,46440,50000,47720,59000,69000,84600,51300,71000,55550,61500,66300,67900,69300,61650,57950
Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,708130,34230,32485,31810,27505,16850,29480,35965,37610,28895,34500,24560,35205,27745,32810,26445,33650,27900,31795,32220,20440,18315,20925,33300,33495
Median government transfers in 2020 among recipients ($),6600,6800,8500,5160,5080,6320,4560,9500,7500,9200,9000,9000,8000,9600,3720,3520,8800,4720,8400,5120,6450,7350,4000,5680,5080
Average government transfers in 2020 among recipients ($),9340,9070,9930,8450,8340,8800,7900,10760,9610,10740,11070,10700,10050,11010,7960,8080,10510,8030,10320,8330,8930,9350,8020,8690,8350
Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,55125,2405,2415,2490,1800,1190,2190,2685,3035,2185,3050,2065,3085,2265,2565,1635,2775,1615,2490,2850,1560,1225,1885,2790,2870
Median employment insurance benefits in 2020 among recipients ($),5680,5480,5880,6000,5640,6000,5880,5480,5480,5720,5480,5480,5480,5880,5480,5720,5800,5480,5640,6000,6280,6080,6000,6000,5600
Average employment insurance benefits in 2020 among recipients ($),6990,6600,7660,7720,6770,7360,7340,6520,6710,7220,6550,6430,5820,6800,6580,7430,7060,6600,6860,7560,7690,7580,7690,7790,6600
